Filename,GenomeCode,Well,Location,SamplingCode,Year,Project
GLC_24GOWN_SHMG-GW275-P48-20251210,P48,275,Sounding Creek 2562E,24GWC00105 ,2024,GOWN
GLC_24GOWN_SHMG-GW239-P49-20251210,P49,239,(Station # O5EEG002) ,24GWO10041,2024,GOWN
GLC_24GOWN_SHMG-GW381-P50-20251210,P50,381,MEANDER RIVER 87-2,24GWG00014,2024,GOWN
GLC_24GOWN_SHMG-GW277-P51-20251210,P51,277,Cavendish 2529E ,24GWC00109,2024,GOWN
GLC_24GOWN_SHMG-GW379-P52-20251210,P52,379,(Station # O7FCG005),24GWO10038,2024,GOWN
GLC_24GOWN_SHMG-GW389-P53-20251210,P53,389,Zama ,24GWG00016,2024,GOWN
GLC_24GOWN_SHMG-GW273-P54-20251210,P54,273,Sounding Creek 2533E,24GWC00102,2024,GOWN
GLC_24GOWN_SHMG-GW238-P55-20251210,P55,238,(Station # O5EEG001),24GWO10040,2024,GOWN
GLC_24GOWN_SHMG-GW1119-P56-20251210,P56,1119,(Station # O7DBG017),24GWO10035,2024,GOWN
GLC_24GOWN_SHMG-GW333-P61-20251210,P61,333,BARRHEAD,24GWE00148,2024,GOWN
GLC_24GOWN_SHMG-GW1145-P62-20251210,P62,1145,(Station # 07CEG008),24GWO10020,2024,GOWN
GLC_24GOWN_SHMG-GW311-P63-20251210,P63,311,WARBURG 2179E,24GWE00125,2024,GOWN
GLC_24GOWN_SHMG-GW148-P64-20251210,P64,148,Flagstaff,24GWE00075,2024,GOWN
GLC_24GOWN_SHMG-GW312-P40-20251210,P40,312,WARBURG 2180E,24GWE00128,2024,GOWN
GLC_24GOWN_SHMG-GW980-P13-20251210,P13,980,Rocky Mountain House,24GWC00089,2024,GOWN
GLC_24GOWN_SHMG-GW242-P25-20251210,P25,242,(Station # O6ADG001),24GWO10028,2024,GOWN
GLC_24GOWN_SHMG-GW313-P37-20251210,P37,313,WARBURG 2181E,24GWE00132,2024,GOWN
GLC_25GOWN_SHMG-GW265NG5-G01-20251210,G01,265,Metiskow,25GWE00072,2025,GOWN
GLC_25GOWN_SHMG-GW265NG1-G01D-20251210,G01D,265,Metiskow,25GWE00072,2025,GOWN
GLC_25GOWN_SHMG-GW146-G02-20251210,G02,146,Killam,25GWE00046,2025,GOWN
GLC_25GOWN_SHMG-GW112-G03-20251210,G03,112,Muel Lake,25GWC00045,2025,GOWN
GLC_25GOWN_SHMG-GW109-G04-20251210,G04,109,Lethbridge Airport,25GWC00055,2025,GOWN
GLC_25GOWN_SHMG-GW101-G05-20251210,G05,101,Del Bonita,25GWC00046,2025,GOWN
GLC_25GOWN_SHMG-GW332NG5-G06-20251210,G06,332,Sion #3,25GWE00103,2025,GOWN
GLC_25GOWN_SHMG-GW332NG1-G06D-20251210,G06D,332,Sion #3,25GWE00103,2025,GOWN
GLC_25GOWN_SHMG-GW277-G07-20251210,G07,277,Cavendish Middle,25GWC00061,2025,GOWN
GLC_25GOWN_SHMG-GW281-G08-20251210,G08,281,Cavendish South,25GWC00064,2025,GOWN
GLC_25GOWN_SHMG-GW275-G09-20251210,G09,275,Sounding Creek North,25GWC00058,2025,GOWN
GLC_25GOWN_SHMG-GW222-G10-20251210,G10,222,Bigstone,25GWC00067,2025,GOWN
GLC_25GOWN_SHMG-GW3050-G11-20251210,G11,3050,Medicine Hat ,25GWC00021,2025,GOWN
GLC_25GOWN_SHMG-GW114-G12-20251210,G12,114,Ross Creek,25GWC00024,2025,GOWN
GLC_25GOWN_SHMG-GW328-G14-20251210,G14,328,Edson,25GWE00100,2025,GOWN
GLC_25GOWN_SHMG-GW340-G16-20251210,G16,340,Fairview,25GWG03012,2025,GOWN
GLC_25GOWN_SHMG-GW626-G18-20251210,G18,626,Canmore #4 Centennial,25GWC00031,2025,GOWN
GLC_25GOWN_SHMG-GW175-G19-20251210,G19,175,Bruderheim N,25GWE00055,2025,GOWN
GLC_25GOWN_SHMG-GW3103-G20-20251210,G20,3103,Hamlin South,25GWE00116,2025,GOWN
GLC_25GOWN_SHMG-GW429-G22-20251210,G22,429,Galahad 2627E,25GWE00040,2025,GOWN
GLC_25GOWN_SHMG-GW374-G23-20251210,G23,374,Kleskun 2426E,25GWG02008,2025,GOWN
GLC_25GOWN_SHMG-GW143-G27-20251210,G27,143,Hardisty Rodeo,25GWE00031,2025,GOWN
GLC_25GOWN_SHMG-GW178-G28-20251210,G28,178,Bruderheim N,25GWE00034,2025,GOWN
GLC_25GOWN_SHMG-GW176-G29-20251210,G29,176,Bruderheim S,25GWE00059,2025,GOWN
GLC_25GOWN_SHMG-GW148-G30-20251210,G30,148,Flagstaff RL,25GWE00049,2025,GOWN
GLC_25GOWN_SHMG-GW339-G31-20251210,G31,339,Grimshaw Kerndale,25GWG09018,2025,GOWN
GLC_25GOWN_SHMG-GW376-G32-20251210,G32,376,Hythe,25GWG04021,2025,GOWN
GLC_25GOWN_SHMG-GW237-G33-20251210,G33,237,Dewberry,25GWE00068,2025,GOWN
GLC_25GOWN_SHMG-GW267-G34-20251210,G34,267,Metiskow,25GWE00076,2025,GOWN
GLC_25GOWN_SHMG-GW294-G35-20251210,G35,294,Vermilion,25GWE00079,2025,GOWN
GLC_25GOWN_SHMG-GW3021-G36-20251210,G36,3021,Morning side,25GWC00034,2025,GOWN
GLC_25GOWN_SHMG-GW4016-G37-20251210,G37,4016,Wetaskiwin,25GWE00122,2025,GOWN
GLC_25GOWN_SHMG-GW931-G39-20251210,G39,931,Evan Thomas Creek,25GWC00040,2025,GOWN
GLC_25GOWN_SHMG-GW162-G41-20251210,G41,162,Devon Botanic,25GWE00052,2025,GOWN
GLC_25GOWN_SHMG-GW295-G43-20251210,G43,295,Vermilion,25GWE00082,2025,GOWN
GLC_22GOWN_SHMG-GW760-G46-20251210,G46,760,Canmore,22GWC22053,2022,GOWN
GLC_22GOWN_SHMG-GW218-G47-20251210,G47,218,Cluny 85-2 Deep,22GWC22075,2022,GOWN
GLC_25GOWN_SHMG-GW217-G48-20251210,G48,217,Okotoks,25GWC00079,2025,GOWN
GLC_25GOWN_SHMG-GW764-G49-20251210,G49,764,Hanie Heights,25GWC00076,2025,GOWN
GLC_25GOWN_SHMG-GW386-G50-20251210,G50,386,Marmot Creek Basin,25GW,2025,GOWN
GLC_25GOWN_SHMG-GW301-G51-20251210,G51,301,Marmot Creek Basin,25GWC00073,2025,GOWN
GLC_25GOWN_SHMG-GW117-G52-20251210,G52,117,Barons,25GWC00082,2025,GOWN
GLC_25GOWN_SHMG-GW144-G53-20251210,G53,144,Ponoka,25GWC00092,2025,GOWN
GLC_25GOWN_SHMG-GW759-G54-20251210,G54,759,Exshaw,25GWC00140,2025,GOWN
GLC_25GOWN_SHMG-GW3104-G55-20251210,G55,3104,Hamilin NW,25GWE00119,2025,GOWN
GLC_25GOWN_SHMG-GW333-G56-20251210,G56,333,BARRHEAD,25GWE00107,2025,GOWN
GLC_25GOWN_SHMG-GW234-G57-20251210,G57,234,Innisfree,25GWE00062,2025,GOWN
GLC_25GOWN_SHMG-GW235-G58-20251210,G58,235,Innisfree,25GWE00065,2025,GOWN
GLC_25GOWN_SHMG-GW278-G59-20251210,G59,278,Enchant,25GWC00096,2025,GOWN
GLC_25GOWN_SHMG-GW312-G60-20251210,G60,312,Warburg 2180E,25GWE00091,2025,GOWN
GLC_25GOWN_SHMG-GW313-G61-20251210,G61,313,Warburg 2181E,25GWE00094,2025,GOWN
GLC_25GOWN_SHMG-GW107-G62-20251210,G62,107,Cypress Hills,25GWC00702,2025,GOWN
GLC_25GOWN_SHMG-GW310-G63-20251210,G63,310,Warburg,25GWE00085,2025,GOWN
GLC_25GOWN_SHMG-GW314-G64-20251210,G64,314,Warburg 2190E,25GWE00097,2025,GOWN
GLC_25GOWN_SHMG-GW381-G65-20251210,G65,381,Meander River 87-2,25GWG00024,2025,GOWN
GLC_25GOWN_SHMG-GW214-G66-20251210,G66,214,Warner,25GWG00132,2025,GOWN
GLC_25GOWN_SHMG-GW387-G67-20251210,G67,387,Zama North North,25GWG00027,2025,GOWN
GLC_25GOWN_SHMG-GW289-G68-20251210,G68,289,Zama North South 87-4,25GWG07030,2025,GOWN
GLC_25GOWN_SHMG-GW113-G70-20251210,G70,113,Keho Lake,25GWC00116,2025,GOWN
GLC_25GOWN_SHMG-GW212-G71-20251210,G71,212,Milk River,25GWC00123,2025,GOWN
GLC_25GOWN_SHMG-GW3010-G72-20251210,G72,3010,Carmangay Waste,25GWC00113,2025,GOWN
